Date,EUR/PLN,GBP/PLN,USD/PLN
01/01/20,4.2568,5.0033,3.7892
01/02/20,4.2544,5.0153,3.8009
01/03/20,4.2493,4.9924,3.8121
01/04/20,4.2493,4.9924,3.8121
01/05/20,4.2493,4.9924,3.8121
01/06/20,4.2415,4.9774,3.7891
01/07/20,4.2457,4.9842,3.8003
01/08/20,4.2429,4.9994,3.8173
01/09/20,4.2422,4.9741,3.8184
01/10/20,4.2462,5.0067,3.8285
01/11/20,4.2462,5.0067,3.8285
01/12/20,4.2462,5.0067,3.8285
01/13/20,4.2348,4.938,3.8062
01/14/20,4.2219,4.9311,3.7984
01/15/20,4.2265,4.9327,3.7933
01/16/20,4.2324,4.9519,3.7894
01/17/20,4.2367,4.9782,3.8141
01/18/20,4.2367,4.9782,3.8141
01/19/20,4.2367,4.9782,3.8141
01/20/20,4.2433,4.976,3.828
01/21/20,4.2438,4.9909,3.8181
01/22/20,4.2378,5.0184,3.822
01/23/20,4.2439,5.0225,3.8264
01/24/20,4.2565,5.0485,3.8573
01/25/20,4.2565,5.0485,3.8573
01/26/20,4.2565,5.0485,3.8573
01/27/20,4.2715,5.0635,3.8744
01/28/20,4.2731,5.0508,3.8829
01/29/20,4.2837,5.0647,3.8939
01/30/20,4.2873,5.0928,3.8873
01/31/20,4.3009,5.1095,3.8915
02/01/20,4.3009,5.1095,3.8915
02/02/20,4.3009,5.1095,3.8915
02/03/20,4.2968,5.0685,3.8829
02/04/20,4.2753,5.0369,3.8698
02/05/20,4.2491,5.0319,3.8548
02/06/20,4.2451,5.0039,3.8581
02/07/20,4.2653,5.0346,3.8885
02/08/20,4.2653,5.0346,3.8885
02/09/20,4.2653,5.0346,3.8885
02/10/20,4.2656,5.0404,3.8952
02/11/20,4.2569,5.0482,3.9051
02/12/20,4.2554,5.0625,3.899
02/13/20,4.2513,5.099,3.9121
02/14/20,4.249,5.1065,3.919
02/15/20,4.249,5.1065,3.919
02/16/20,4.249,5.1065,3.919
02/17/20,4.262,5.1203,3.9335
02/18/20,4.2746,5.1511,3.9521
02/19/20,4.2712,5.1369,3.9548
02/20/20,4.2825,5.1079,3.969
02/21/20,4.2835,5.1293,3.9658
02/22/20,4.2835,5.1293,3.9658
02/23/20,4.2835,5.1293,3.9658
02/24/20,4.2989,5.1279,3.9738
02/25/20,4.3012,5.1431,3.9679
02/26/20,4.3094,5.1211,3.9627
02/27/20,4.3124,5.0737,3.9332
02/28/20,4.3259,5.0705,3.9409
02/29/20,4.3259,5.0705,3.9409
03/01/20,4.3259,5.0705,3.9409
03/02/20,4.3276,4.9678,3.891
03/03/20,4.3166,4.961,3.8829
03/04/20,4.2968,4.9474,3.8623
03/05/20,4.3029,4.9647,3.8463
03/06/20,4.3042,4.938,3.7969
03/07/20,4.3042,4.938,3.7969
03/08/20,4.3042,4.938,3.7969
03/09/20,4.3132,4.936,3.765
03/10/20,4.326,4.9505,3.7981
03/11/20,4.318,4.9242,3.8091
03/12/20,4.3599,4.9196,3.8789
03/13/20,4.357,4.8917,3.9238
03/14/20,4.357,4.8917,3.9238
03/15/20,4.357,4.8917,3.9238
03/16/20,4.407,4.8472,3.95
03/17/20,4.4628,4.9137,4.0637
03/18/20,4.501,4.8823,4.1165
03/19/20,4.5604,4.9044,4.2222
03/20/20,4.5315,4.9781,4.2323
03/21/20,4.5315,4.9781,4.2323
03/22/20,4.5315,4.9781,4.2323
03/23/20,4.6056,4.9539,4.2712
03/24/20,4.6146,5.0104,4.2558
03/25/20,4.5817,5.0072,4.2317
03/26/20,4.5748,5.0081,4.1661
03/27/20,4.5306,5.0484,4.1274
03/28/20,4.5306,5.0484,4.1274
03/29/20,4.5306,5.0484,4.1274
03/30/20,4.5509,5.1191,4.1244
03/31/20,4.5506,5.1336,4.1535
04/01/20,4.5815,5.1792,4.1894
04/02/20,4.5697,5.2083,4.1901
04/03/20,4.5765,5.2094,4.2434
04/04/20,4.5765,5.2094,4.2434
04/05/20,4.5765,5.2094,4.2434
04/06/20,4.5643,5.1985,4.2297
04/07/20,4.5356,5.1486,4.1668
04/08/20,4.5442,5.1669,4.1801
04/09/20,4.5586,5.206,4.1949
04/10/20,4.5586,5.206,4.1949
04/11/20,4.5586,5.206,4.1949
04/12/20,4.5586,5.206,4.1949
04/13/20,4.5586,5.206,4.1949
04/14/20,4.5473,5.2116,4.1479
04/15/20,4.5381,5.1932,4.1622
04/16/20,4.5288,5.1958,4.1594
04/17/20,4.5185,5.195,4.1607
04/18/20,4.5185,5.195,4.1607
04/19/20,4.5185,5.195,4.1607
04/20/20,4.5272,5.1832,4.1687
04/21/20,4.5291,5.1397,4.1793
04/22/20,4.5349,5.158,4.1731
04/23/20,4.5379,5.204,4.2127
04/24/20,4.5284,5.1754,4.193
04/25/20,4.5284,5.1754,4.193
04/26/20,4.5284,5.1754,4.193
04/27/20,4.5287,5.1897,4.1731
04/28/20,4.5468,5.2215,4.1802
04/29/20,4.5442,5.2006,4.1913
04/30/20,4.5336,5.2167,4.1684
05/01/20,4.5336,5.2167,4.1684
05/02/20,4.5336,5.2167,4.1684
05/03/20,4.5336,5.2167,4.1684
05/04/20,4.5668,5.1956,4.1736
05/05/20,4.5316,5.2051,4.1793
05/06/20,4.5394,5.2026,4.2004
05/07/20,4.5467,5.1975,4.2165
05/08/20,4.5482,5.1959,4.1946
05/09/20,4.5482,5.1959,4.1946
